country,patent_count,patent_share_pct
US,111,40.81
JP,50,18.38
DE,21,7.72
,20,7.35
KR,16,5.88
CN,14,5.15
TW,7,2.57
FR,5,1.84
GB,4,1.47
AU,3,1.1
IN,3,1.1
AT,2,0.74
IL,2,0.74
NL,2,0.74
CA,1,0.37
CH,1,0.37
CM,1,0.37
DK,1,0.37
FI,1,0.37
IT,1,0.37
MY,1,0.37
NO,1,0.37
RU,1,0.37
SA,1,0.37
SE,1,0.37
SI,1,0.37
